date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-04-20,31.61,33.18,33.55,31.18,37801,173579528.0,7.51,5.1,1.61,5.36
2020-04-21,33.17,32.5,33.75,32.02,29768,136694947.0,5.21,-2.05,-0.68,4.22
2020-04-22,32.4,32.46,32.69,31.66,24522,110804538.0,3.17,-0.12,-0.04,3.48
2020-04-23,32.24,32.14,33.03,31.75,19376,88152401.0,3.94,-0.99,-0.32,2.75
2020-04-24,31.83,32.4,32.75,31.4,15977,72219699.0,4.2,0.81,0.26,2.27
2020-04-27,33.14,31.54,33.31,30.79,27403,122118996.0,7.78,-2.65,-0.86,3.89
2020-04-28,31.04,31.24,31.57,29.46,27559,119089609.0,6.69,-0.95,-0.3,3.91
2020-04-29,31.25,33.18,33.76,30.89,46621,215952026.0,9.19,6.21,1.94,6.61
2020-04-30,33.34,34.64,35.46,32.89,44109,214864027.0,7.75,4.4,1.46,6.25
2020-05-06,34.22,35.79,36.29,34.22,40208,200358620.0,5.98,3.32,1.15,5.7
2020-05-07,35.73,34.51,36.49,34.29,34456,169145361.0,6.15,-3.58,-1.28,4.88
2020-05-08,34.83,35.32,35.95,34.46,34327,170431403.0,4.32,2.35,0.81,4.87
2020-05-11,35.57,34.95,36.16,34.6,30836,152960021.0,4.42,-1.05,-0.37,4.37
2020-05-12,34.95,34.51,35.17,33.82,22262,107749496.0,3.86,-1.26,-0.44,3.16
2020-05-13,34.49,34.49,34.71,33.98,18128,87380639.0,2.12,-0.06,-0.02,2.57
2020-05-14,34.31,34.16,34.68,33.94,16251,78098459.0,2.15,-0.96,-0.33,2.3
2020-05-15,34.22,36.05,36.41,34.09,44474,221474693.0,6.79,5.53,1.89,6.31
2020-05-18,36.0,36.66,37.36,35.64,41296,212263139.0,4.77,1.69,0.61,5.85
2020-05-19,37.16,36.31,37.16,35.79,33126,168651495.0,3.74,-0.95,-0.35,4.7
2020-05-20,36.36,35.14,36.43,34.52,21965,109710394.0,5.26,-3.22,-1.17,3.11
2020-05-21,35.14,35.31,36.11,34.77,24632,122695890.0,3.81,0.48,0.17,3.49
2020-05-22,35.01,34.01,35.18,33.96,24201,116973146.0,3.46,-3.68,-1.3,3.43
2020-05-25,33.79,33.25,33.79,32.14,35855,165198187.0,4.85,-2.23,-0.76,5.08
2020-05-26,34.13,33.43,34.13,32.94,26003,121909134.0,3.58,0.54,0.18,3.69
2020-05-27,33.29,32.86,33.42,32.32,22173,102373679.0,3.29,-1.71,-0.57,3.14
2020-05-28,32.88,32.9,33.19,31.57,27035,123103050.0,4.93,0.12,0.04,3.49
2020-05-29,32.47,33.35,33.54,32.21,21606,100472005.0,4.04,1.37,0.45,2.79
2020-06-01,33.46,34.39,34.66,33.46,29296,141498835.0,3.6,3.12,1.04,3.78
2020-06-02,34.57,35.57,36.2,34.21,36382,179887780.0,5.79,3.43,1.18,4.7
2020-06-03,35.81,36.02,36.79,35.21,40996,208426844.0,4.44,1.27,0.45,5.29
2020-06-04,36.31,36.76,36.98,35.94,32681,168259080.0,2.89,2.05,0.74,4.22
2020-06-05,36.51,36.29,37.36,35.78,32664,166859934.0,4.3,-1.28,-0.47,4.22
2020-06-08,36.64,35.53,37.83,35.38,68332,352360256.0,6.75,-2.09,-0.76,8.82
2020-06-09,35.49,34.74,35.9,34.5,30938,152175565.0,3.94,-2.22,-0.79,3.99
2020-06-10,34.16,34.74,35.44,33.08,64778,312285072.0,6.79,0.0,0.0,8.36
2020-06-11,34.94,34.03,36.43,33.83,58153,285491680.0,7.48,-2.04,-0.71,7.51
2020-06-12,33.17,33.64,34.0,32.89,35152,165275674.0,3.26,-1.15,-0.39,4.54
2020-06-15,33.5,33.71,34.5,33.14,26796,126753639.0,4.04,0.21,0.07,3.46
2020-06-16,34.0,34.91,35.07,33.82,30936,149959160.0,3.71,3.56,1.2,3.99
2020-06-17,35.5,33.95,35.5,33.64,33663,161351162.0,5.33,-2.75,-0.96,4.34
2020-06-18,33.98,34.3,34.43,33.61,22396,107689462.0,2.42,1.03,0.35,2.89
2020-06-19,34.38,34.86,35.04,34.36,33204,162374397.0,1.98,1.63,0.56,4.28
2020-06-22,35.32,35.87,36.24,34.74,43151,214985075.0,4.3,2.9,1.01,5.56
2020-06-23,35.64,35.33,36.46,35.2,36261,181968241.0,3.51,-1.51,-0.54,4.67
2020-06-24,35.24,35.62,36.86,35.24,38902,196975801.0,4.59,0.82,0.29,5.01
2020-06-29,35.65,36.14,36.76,35.64,39561,201176412.0,3.14,1.46,0.52,5.1
2020-06-30,36.29,37.64,37.71,36.01,61975,322421072.0,4.7,4.15,1.5,7.99
2020-07-01,36.86,36.33,36.86,35.61,62549,318449600.0,3.32,-3.48,-1.31,8.06
2020-07-02,36.36,36.21,36.41,35.71,32923,167225082.0,1.93,-0.33,-0.12,4.24
2020-07-03,36.11,36.35,36.54,35.8,29647,150693790.0,2.04,0.39,0.14,3.82
2020-07-06,36.33,37.57,37.64,36.21,50341,262505047.0,3.93,3.36,1.22,6.49
2020-07-07,37.86,38.06,38.86,37.0,72847,388022576.0,4.95,1.3,0.49,9.39
2020-07-08,38.3,38.71,38.82,37.54,52384,282755712.0,3.36,1.71,0.65,6.75
2020-07-09,38.74,39.21,39.54,38.43,56370,309361392.0,2.87,1.29,0.5,7.27
2020-07-10,39.21,38.43,39.51,38.3,42292,230761632.0,3.09,-1.99,-0.78,5.45
2020-07-13,38.71,40.0,40.0,38.57,55632,309292048.0,3.72,4.09,1.57,7.17
2020-07-14,41.06,41.1,41.96,39.46,73017,416567632.0,6.25,2.75,1.1,9.41
2020-07-15,40.93,37.44,41.04,37.36,68494,374059152.0,8.95,-8.91,-3.66,8.83
2020-07-16,37.39,34.93,38.07,34.86,47155,241578924.0,8.57,-6.7,-2.51,6.08
2020-07-17,34.86,35.38,35.84,34.64,28766,142569778.0,3.44,1.29,0.45,3.71
2020-07-20,35.91,35.94,36.07,35.09,23598,118408342.0,2.77,1.58,0.56,3.04
2020-07-21,36.06,35.8,36.55,35.51,24053,121509572.0,2.89,-0.39,-0.14,3.1
2020-07-22,35.61,35.59,36.05,35.19,28438,142610935.0,2.4,-0.59,-0.21,3.67
2020-07-23,34.54,33.85,35.25,33.43,56601,270393120.0,5.11,-4.89,-1.74,7.3
2020-07-24,33.7,31.46,33.7,31.32,43554,199303452.0,7.03,-7.06,-2.39,5.61
2020-07-27,31.76,32.65,32.65,30.79,25368,113687369.0,5.91,3.78,1.19,3.27
2020-07-28,32.86,33.32,33.35,32.74,20317,94477858.0,1.87,2.05,0.67,2.62
2020-07-29,33.42,33.74,33.8,32.81,23086,108802542.0,2.97,1.26,0.42,2.98
2020-07-30,33.72,32.76,33.72,32.64,27907,129499358.0,3.2,-2.9,-0.98,3.6
2020-07-31,32.91,33.09,33.26,32.61,18776,86989378.0,1.98,1.01,0.33,2.42
2020-08-03,33.57,33.93,33.93,33.21,23280,110105200.0,2.18,2.54,0.84,3.0
2020-08-04,33.94,33.35,34.06,33.1,24090,113209096.0,2.83,-1.71,-0.58,3.11
2020-08-05,33.4,33.25,33.62,32.71,19888,92479031.0,2.73,-0.3,-0.1,2.56
2020-08-06,33.39,33.42,33.56,32.93,20307,95169414.0,1.89,0.51,0.17,2.62
2020-08-07,33.42,32.51,33.44,32.01,22783,104374092.0,4.28,-2.72,-0.91,2.94
2020-08-10,32.92,32.64,32.92,32.27,12373,56595117.0,2.0,0.4,0.13,1.59
2020-08-11,32.64,31.83,32.82,31.83,14432,65663644.0,3.03,-2.48,-0.81,1.86
2020-08-12,31.64,31.26,31.93,30.49,23061,100615662.0,4.52,-1.79,-0.57,2.97
2020-08-13,31.26,30.99,31.49,30.88,12712,55587923.0,1.95,-0.86,-0.27,1.64
2020-08-14,30.99,31.55,31.59,30.94,10751,47350355.0,2.1,1.81,0.56,1.39
2020-08-17,31.83,32.82,32.99,31.56,26474,121529150.0,4.53,4.03,1.27,3.41
2020-08-18,32.98,33.49,33.57,32.66,27927,130361965.0,2.77,2.04,0.67,3.6
2020-08-19,33.39,32.74,33.54,32.5,15888,73477564.0,3.11,-2.24,-0.75,2.05
2020-08-20,32.57,32.7,32.84,32.22,8513,39012524.0,1.89,-0.12,-0.04,1.1
2020-08-21,32.93,33.35,33.64,32.75,18606,87243849.0,2.72,1.99,0.65,2.4
2020-08-24,33.42,33.47,33.66,32.77,18261,85768711.0,2.67,0.36,0.12,2.35
2020-08-25,33.76,33.64,33.76,33.28,16349,77078361.0,1.43,0.51,0.17,2.11
2020-08-26,33.26,31.28,33.26,31.0,35031,156509773.0,6.72,-7.02,-2.36,4.52
2020-08-27,30.87,30.91,31.25,30.46,22598,97775609.0,2.53,-1.18,-0.37,2.91
2020-08-28,30.71,31.24,31.36,30.57,14239,61907248.0,2.56,1.07,0.33,1.84
2020-08-31,31.23,31.16,31.71,31.15,16840,74392257.0,1.79,-0.26,-0.08,2.17
2020-09-01,31.29,31.01,31.39,30.64,10027,43488130.0,2.41,-0.48,-0.15,1.29
2020-09-02,30.88,30.74,31.14,30.49,11433,49415235.0,2.1,-0.87,-0.27,1.47
2020-09-03,30.74,30.27,30.81,29.88,14978,63576227.0,3.03,-1.53,-0.47,1.93
2020-09-04,29.71,30.56,30.59,29.54,10198,43441733.0,3.47,0.96,0.29,1.31
